xa_uM,kyn_uM,read_SK1,read_XA1,singleplex
0,0,1165,550,TRUE
0.01,0,1213,499,TRUE
0.1,0,1201,507,TRUE
1,0,1716,491,TRUE
5,0,1773,534,TRUE
10,0,1833,595,TRUE
50,0,2912,828,TRUE
100,0,3998,1082,TRUE
250,0,5505,1714,TRUE
500,0,6344,2677,TRUE
1000,0,6865,4057,TRUE
1500,0,7138,5059,TRUE
0,0,1174,548,TRUE
0.01,0,1254,503,TRUE
0.1,0,1203,509,TRUE
1,0,1733,491,TRUE
5,0,1787,516,TRUE
10,0,1818,589,TRUE
50,0,2902,841,TRUE
100,0,3940,1065,TRUE
250,0,5467,1645,TRUE
500,0,6308,2651,TRUE
1000,0,6838,3916,TRUE
1500,0,6965,4946,TRUE
0,0,1195,546,TRUE
0.01,0,1217,494,TRUE
0.1,0,1179,504,TRUE
1,0,1747,504,TRUE
5,0,1868,524,TRUE
10,0,1887,608,TRUE
50,0,2962,830,TRUE
100,0,3845,1044,TRUE
250,0,5509,1671,TRUE
500,0,6202,2791,TRUE
1000,0,6369,4057,TRUE
1500,0,6870,4810,TRUE
0,0,1352,493,TRUE
0,0.1,1234,495,TRUE
0,1,1413,490,TRUE
0,5,1541,485,TRUE
0,10,1402,487,TRUE
0,50,1535,490,TRUE
0,100,1677,485,TRUE
0,500,2954,502,TRUE
0,1000,3894,527,TRUE
0,1500,4458,547,TRUE
0,3000,5495,595,TRUE
0,4500,5684,615,TRUE
0,0,1283,503,TRUE
0,0.1,1243,483,TRUE
0,1,1356,480,TRUE
0,5,1472,497,TRUE
0,10,1387,467,TRUE
0,50,1554,485,TRUE
0,100,1605,487,TRUE
0,500,2680,509,TRUE
0,1000,3973,532,TRUE
0,1500,4701,543,TRUE
0,3000,5768,624,TRUE
0,4500,6273,609,TRUE
0,0,1222,486,TRUE
0,0.1,1271,487,TRUE
0,1,1374,479,TRUE
0,5,1496,467,TRUE
0,10,1555,478,TRUE
0,50,1526,474,TRUE
0,100,1657,466,TRUE
0,500,2760,487,TRUE
0,1000,3928,521,TRUE
0,1500,4709,547,TRUE
0,3000,5893,587,TRUE
0,4500,6070,604,TRUE
10,100,2093,575,FALSE
500,300,6161,2527,FALSE
100,1000,4977,1034,FALSE
500,1000,6353,2439,FALSE
80,1500,5717,931,FALSE
10,4000,5975,730,FALSE
80,4000,6327,970,FALSE
500,2750,6315,2434,FALSE
10,100,2229,612,FALSE
500,300,6836,2714,FALSE
100,1000,5293,1145,FALSE
500,1000,6789,2675,FALSE
80,1500,6022,1047,FALSE
10,4000,6664,676,FALSE
80,4000,6613,1042,FALSE
500,2750,6929,2609,FALSE
10,100,2149,588,FALSE
500,300,6740,2816,FALSE
100,1000,5575,1121,FALSE
500,1000,7000,2708,FALSE
80,1500,5944,1004,FALSE
10,4000,6614,703,FALSE
80,4000,6479,1016,FALSE
500,2750,7290,2657,FALSE
