xa_uM,kyn_uM,read_SK1,read_XA1,singleplex
0,0,1954,508,TRUE
750,0,8365,3941,TRUE
375,0,8093,2855,TRUE
187.5,0,6250,2070,TRUE
93.75,0,4960,1422,TRUE
46.875,0,3347,1064,TRUE
23.4375,0,2931,834,TRUE
11.71875,0,2230,675,TRUE
1.17,0,1495,580,TRUE
0.0117,0,1568,491,TRUE
0,0,1703,510,TRUE
750,0,9205,4260,TRUE
375,0,8390,3132,TRUE
187.5,0,7216,2032,TRUE
93.75,0,5345,1444,TRUE
46.875,0,3822,1042,TRUE
23.4375,0,2979,818,TRUE
11.71875,0,2322,672,TRUE
1.17,0,1588,613,TRUE
0.0117,0,1648,525,TRUE
0,0,1665,563,TRUE
750,0,8634,4304,TRUE
375,0,8173,3073,TRUE
187.5,0,6751,2044,TRUE
93.75,0,5078,1421,TRUE
46.875,0,3933,1087,TRUE
23.4375,0,3031,867,TRUE
11.71875,0,2241,697,TRUE
1.17,0,1629,606,TRUE
0.0117,0,1618,547,TRUE
0,2400.00096,6218,623,TRUE
0,1440.00115,5461,607,TRUE
0,864.001037,4315,580,TRUE
0,518.400829,3155,579,TRUE
0,311.040622,2829,580,TRUE
0,186.624448,2425,560,TRUE
0,111.974714,2102,536,TRUE
0,11.1974714,1751,541,TRUE
0,0.111974714,1697,568,TRUE
0,2400.00096,5986,623,TRUE
0,1440.00115,5400,606,TRUE
0,864.001037,4699,623,TRUE
0,518.400829,2937,584,TRUE
0,311.040622,2814,587,TRUE
0,186.624448,2433,593,TRUE
0,111.974714,2110,805,TRUE
0,11.1974714,1729,632,TRUE
0,0.111974714,1638,531,TRUE
0,2400.00096,5949,627,TRUE
0,1440.00115,5315,618,TRUE
0,864.001037,4539,588,TRUE
0,518.400829,3319,583,TRUE
0,311.040622,2858,560,TRUE
0,186.624448,2446,581,TRUE
0,111.974714,2073,542,TRUE
0,11.1974714,1749,508,TRUE
0,0.111974714,1699,556,TRUE
3.16227766,2754.228703,6123,640,FALSE
316.227766,2754.228703,6736,2099,FALSE
3.16227766,10,2039,596,FALSE
316.227766,10,8046,2726,FALSE
3.16227766,1000,4737,611,FALSE
10,1000,4791,686,FALSE
31.6227766,1000,5562,916,FALSE
100,1000,6422,1182,FALSE
316.227766,1000,7225,2462,FALSE
10,2754.228703,6245,701,FALSE
100,2754.228703,6677,1236,FALSE
3.16227766,2754.228703,6401,670,FALSE
316.227766,2754.228703,6495,1999,FALSE
3.16227766,10,1942,605,FALSE
316.227766,10,7873,2714,FALSE
3.16227766,1000,4753,636,FALSE
10,1000,4860,707,FALSE
31.6227766,1000,5378,864,FALSE
100,1000,6425,1259,FALSE
316.227766,1000,7479,2461,FALSE
10,2754.228703,6238,712,FALSE
100,2754.228703,6305,1217,FALSE
3.16227766,2754.228703,6069,650,FALSE
316.227766,2754.228703,7321,2133,FALSE
3.16227766,10,1865,648,FALSE
316.227766,10,7806,2686,FALSE
3.16227766,1000,4561,621,FALSE
10,1000,5062,721,FALSE
31.6227766,1000,5476,862,FALSE
100,1000,6786,1306,FALSE
316.227766,1000,7441,2435,FALSE
10,2754.228703,6250,703,FALSE
100,2754.228703,6752,1204,FALSE
