kyn_uM,xa_uM,read_SK1,read_XA1,singleplex
0,800,8479,17932,TRUE
0,600,7905,16424,TRUE
0,400,7437,15079,TRUE
0,200,6762,13611,TRUE
0,100,5911,12269,TRUE
0,50,4901,11009,TRUE
0,25,4089,10070,TRUE
0,12.5,3676,9749,TRUE
0,6.25,3273,9351,TRUE
0,1.56,3041,9086,TRUE
0,0.390625,3034,9243,TRUE
0,0.0977,3036,9175,TRUE
0,800,8101,18299,TRUE
0,600,7673,17349,TRUE
0,400,7319,15628,TRUE
0,200,6694,14186,TRUE
0,100,5706,12810,TRUE
0,50,4670,11458,TRUE
0,25,4023,10691,TRUE
0,12.5,3531,10251,TRUE
0,6.25,3237,9849,TRUE
0,1.56,3002,9345,TRUE
0,0.390625,3002,9689,TRUE
0,0.0977,3019,9705,TRUE
0,800,8206,18690,TRUE
0,600,7711,17679,TRUE
0,400,7346,15793,TRUE
0,200,6605,14198,TRUE
0,100,5782,12790,TRUE
0,50,4803,11560,TRUE
0,25,3998,10695,TRUE
0,12.5,3590,10215,TRUE
0,6.25,3242,9731,TRUE
0,1.56,3016,9662,TRUE
0,0.390625,2979,9709,TRUE
0,0.0977,2951,9525,TRUE
800,0,5012,9501,TRUE
600,0,4535,9416,TRUE
400,0,3978,9277,TRUE
200,0,3487,9375,TRUE
100,0,3197,9244,TRUE
50,0,2990,9168,TRUE
25,0,2959,9439,TRUE
12.5,0,2988,9510,TRUE
6.25,0,2934,9498,TRUE
1.56,0,2988,9487,TRUE
0.390625,0,2910,9571,TRUE
0.0977,0,2947,9587,TRUE
800,0,5041,9633,TRUE
600,0,4563,9545,TRUE
400,0,3998,9303,TRUE
200,0,3479,9347,TRUE
100,0,3205,9523,TRUE
50,0,3042,9464,TRUE
25,0,2978,9555,TRUE
12.5,0,2956,9555,TRUE
6.25,0,2958,9540,TRUE
1.56,0,2938,9515,TRUE
0.390625,0,2936,9587,TRUE
0.0977,0,2973,9786,TRUE
800,0,5012,9561,TRUE
600,0,4548,9332,TRUE
400,0,3937,9231,TRUE
200,0,3484,9338,TRUE
100,0,3202,9542,TRUE
50,0,3030,9337,TRUE
25,0,2951,9413,TRUE
12.5,0,2940,9516,TRUE
6.25,0,2900,9501,TRUE
1.56,0,2941,9438,TRUE
0.390625,0,2971,9704,TRUE
0.0977,0,2965,9875,TRUE
